Fish ID,Genotype,WT(g),LogWT,Elevation (m),LDH (IU/mg protein),LogLDH,CS (IU/mg protein,LogCS,OCR (mgO2/hr),LogOCR,AchE (uM/min/ml),LogAchE
Ra1-49,HYB,190.8,2.28057837,1417,2.72119205,0.43475919,0.01702972,-1.7687926,,,,
Ra1-50,WCT,65.9,1.81888541,1417,,,,,7.65,0.88366144,,
Ra1-51,HYB,54.4,1.7355989,1417,,,,,11.0166667,1.04205021,,
Ra1-52,HYB,36.1,1.5575072,1417,,,,,7.7625,0.89000161,,
Ra1-53,WCT,55.2,1.74193908,1417,,,,,10.14375,1.00619854,,
Ra1-54,HYB,54.7,1.73798733,1417,,,,,9.3537,0.97098344,,
Ra2-01,WCT,306.6,2.48657215,1501,2.73322422,0.43667526,0.02496109,-1.6027365,,,,
Ra2-02,WCT,245.3,2.38969755,1501,2.71732746,0.43414198,0.01673577,-1.7763543,,,,
Ra2-03,WCT,245.3,2.38969755,1501,1.58456335,0.19990961,0.01620421,-1.7903722,,,,
Ra2-04,WCT,347.3,2.54070478,1501,2.08502024,0.31911028,0.02274847,-1.6430478,,,,
Ra2-05,WCT,527.2,2.7219754,1501,1.97951977,0.29655984,0.03245472,-1.4887221,,,,
Ra2-06,WCT,465.1,2.66754634,1501,1.74638844,0.24214085,,,,,,
Ra2-07,WCT,422.8,2.62613498,1501,1.48816029,0.17264971,,,,,,
Ra2-08,WCT,160.7,2.20601588,1501,2.75284261,0.43978138,,,,,,
Ra2-09,WCT,280.5,2.44793287,1501,2.44426494,0.38814828,,,,,,
Ra2-10,WCT,353.2,2.54802069,1501,2.46040516,0.39100663,,,,,,
Ra2-11,WCT,374,2.5728716,1501,2.57370518,0.4105588,,,,,,
Ra2-12,WCT,249.4,2.39689645,1501,2.72,0.4345689,,,,,,
Ra2-13,WCT,357.8,2.55364034,1501,2.72705314,0.4356936,,,,,,
Ra2-14,WCT,418.5,2.62169546,1501,3.0251046,0.4807404,,,,,,
Ra2-15,WCT,115.4,2.06220581,1501,2.78244111,0.44442598,,,,,,
Ra2-16,WCT,196,2.29225607,1501,2.53254438,0.40355706,,,,,,
Ra2-17,WCT,210.2,2.32263271,1501,1.85784499,0.26900948,,,,,,
Ra2-18,WCT,173.5,2.23929948,1501,2.58547009,0.41253952,,,,,,
Ra2-19,WCT,190.6,2.2801229,1501,2.05651491,0.31313186,,,,,,
Ra2-28,WCT,146.2,2.16494737,1501,2.25488599,0.35312459,,,,,,
SR50,WCT,216,2.33445375,1707,3.01515152,0.47930914,0.06092172,-1.2152279,,,,
SR51,WCT,215.5,2.33344727,1707,2.17883212,0.33822377,,,,,,
SR52,WCT,159.4,2.20248832,1707,1.80665025,0.25687408,0.06744573,-1.1710456,,,,
SR53,WCT,134.8,2.12968989,1707,2.03546512,0.30866366,0.0640689,-1.1933528,,,,
SR54,WCT,93.6,1.97127585,1707,2.00726392,0.30260448,,,,,,
SR55,WCT,156.9,2.19562294,1707,1.28474576,0.10881719,,,,,,
SR56,WCT,133.1,2.12417806,1707,2.47413793,0.39342391,,,,,,
SR58,WCT,93.9,1.97266559,1707,1.35052632,0.13050305,,,,,,
SR59,WCT,116.8,2.06744284,1707,1.57540984,0.19739355,,,,,,
SR60,WCT,80.1,1.90363252,1707,1.58,0.19865709,,,,,,
SR61,WCT,90.5,1.95664858,1707,1.15275459,0.06173686,,,,,,
SR62,WCT,113.9,2.05652372,1707,1.43818985,0.15781622,,,,,,
SR63,WCT,83.2,1.92012333,1707,1.70437956,0.23156632,,,,,,
SR64,WCT,94.1,1.97358962,1707,1.68,0.22530928,,,,,,
SR65,WCT,88.9,1.94890176,1707,1.23611111,0.09205751,,,,,,
SR66,WCT,72.8,1.86213138,1707,1.278798,0.10680195,,,,,,
SR67,WCT,80,1.90308999,1707,2.04736842,0.311196,,,,,,
SR68,WCT,80,1.90308999,1707,1.70699088,0.2322312,,,,,,
SR69,WCT,76.1,1.88138466,1707,1.75090253,0.24326197,,,,,,
Vi1-03,WCT,52.2,1.7176705,1539,,,,,8.74,0.94151143,,
Vi1-06,WCT,84.1,1.924796,1539,,,,,16.78,1.22479196,,
Vi1-12,WCT,78.6,1.89542255,1539,,,,,16,1.20411998,,
Vi1-14,WCT,56.6,1.75281643,1539,,,,,8.05,0.90579588,,
Vi1-16,WCT,51.9,1.71516736,1539,,,,,8.98928571,0.95372518,,
Vi1-41,WCT,70.8,1.85003326,1539,1.5338809,0.18579164,,,,,,
Vi1-42,WCT,231.6,2.36473856,1539,2.07545045,0.31711237,,,,,,
Vi1-43,WCT,77.2,1.8876173,1539,1.93899204,0.28757603,,,,,,
Vi1-44,WCT,228,2.35793485,1539,1.54761905,0.18966407,,,,,,
Vi1-45,WCT,296,2.47129171,1539,1.78443804,0.25150147,0.0466887,-1.3307882,,,,
Vi1-46,HYB,26.5,1.42324587,1539,1.56746988,0.1951992,0.02486416,-1.6044262,,,,
Vi1-47,WCT,20.1,1.30319606,1539,1.12723214,0.05201336,0.03649116,-1.4378123,,,,
Vi1-48,HYB,19.7,1.29446623,1539,1.57540603,0.1973925,0.03227219,-1.4911716,,,,
Vi1-49,WCT,17,1.23044892,1539,1.19269521,0.07652948,,,,,,
Vi1-50,WCT,17.4,1.24054925,1539,1.31399177,0.11859265,,,,,,
